1290 F 66 118 18
2341 M 67 145 21
4523 F 61 110 20
6721 M 68 150 22
1390 M 66 155 19
7543 M 70 191 17
2909 M 71 188 20
6012 M 71 195 22
3976 M 68 170 17
9888 M 73 186 25
2012 M 71 154 18
5087 M 73 215 28
5551 M 70 184 22
6665 F 62 112 18
1523 F 64 132 19
1675 F 65 137 19
1754 M 68 158 26
1832 F 69 142 23
9119 M 71 162 26
2045 F 65 115 21
2121 M 67 161 18
2221 F 63 129 17
3221 M 73 176 19
2432 M 69 143 24
2541 M 71 190 25
2671 M 75 210 21
2765 M 69 162 22
7828 F 67 120 28
2990 F 63 116 21
3030 F 61 98 22
3121 F 65 120 27
3232 F 69 154 30
3421 M 69 195 24
3565 F 60 101 20
3687 F 62 118 18
3782 M 72 196 26
8312 M 69 157 19
3910 M 69 176 17
4021 F 67 135 16
4131 M 68 167 23
4142 M 70 177 18
4242 M 69 165 27
4421 M 71 170 28
4532 M 71 168 24
4675 M 70 168 28
4765 F 65 108 21
4861 F 65 128 20
2876 F 64 115 22
5021 F 63 112 28
1100 F 65 120 23
1751 M 77 178 29
6751 M 76 170 25
3069 M 70 160 22
2723 M 73 155 21
6654 F 64 123 20
5623 F 61 115 26
2741 F 60 124 23
1560 F 62 100 20
2037 M 72 175 28
5516 M 75 180 24
4347 M 73 176 25
5607 F 60 127 30
4086 F 63 124 25
8624 F 60 111 21
